                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5988,                 4.1146,                 3.6787,                0.01129,                0.00479,                0.00585,                0.00166,                 4.6476,                 5.0289,                  4.216,             0.00017393,             0.00017393,             0.00017393
                      2,                 2.1411,                 2.3849,                 2.2607,                0.44157,                0.23204,                0.17689,                0.08286,                 1.8706,                 2.0062,                 1.9573,             0.00034696,             0.00034696,             0.00034696
                      3,                 1.6489,                 1.7842,                 1.7132,                0.61906,                0.30905,                0.28605,                0.16773,                 1.4184,                 1.7225,                 1.5005,             0.00051767,             0.00051767,             0.00051767
                      4,                 1.4645,                 1.5578,                 1.4961,                0.62703,                0.32355,                0.33066,                0.18869,                 1.4064,                 1.5428,                 1.4412,             0.00051559,             0.00051559,             0.00051559
                      5,                 1.3596,                 1.3914,                 1.4025,                0.46045,                0.42481,                 0.3709,                0.24054,                 1.2398,                 1.4115,                 1.3435,             0.00051211,             0.00051211,             0.00051211
                      6,                 1.2834,                 1.2965,                 1.3289,                0.53991,                0.48754,                0.39129,                0.25711,                 1.1922,                 1.3717,                 1.2933,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.2352,                  1.239,                 1.2879,                0.72148,                 0.4239,                0.44996,                0.29674,                 1.1445,                 1.1672,                 1.2518,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.1832,                  1.174,                 1.2542,                0.71995,                0.45849,                0.50846,                0.34891,                 1.0802,                 1.1106,                 1.2123,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.1635,                 1.1196,                 1.2266,                0.60355,                0.52627,                0.51952,                0.36381,                 1.0771,                 1.0824,                 1.1991,             0.00049823,             0.00049823,             0.00049823
                     10,                 1.1267,                 1.0845,                 1.2028,                0.67014,                0.49508,                0.52422,                 0.3651,                 1.0277,                 1.0342,                 1.1743,             0.00049476,             0.00049476,             0.00049476
                     11,                 1.1104,                 1.0454,                 1.1957,                0.65524,                0.55022,                0.56976,                0.41414,                 1.0221,                 1.0437,                 1.1569,             0.00049128,             0.00049128,             0.00049128
                     12,                 1.0928,                  1.021,                 1.1799,                0.65474,                 0.5054,                0.54291,                0.38258,                 1.0715,                 1.0477,                 1.1742,             0.00048781,             0.00048781,             0.00048781
                     13,                 1.0707,                0.98358,                  1.163,                0.63848,                0.56827,                0.57527,                0.41375,                 1.0056,                 0.9857,                 1.1378,             0.00048434,             0.00048434,             0.00048434
                     14,                 1.0657,                0.97127,                 1.1516,                0.60199,                0.56949,                0.58708,                0.42529,                0.98091,                0.94535,                  1.126,             0.00048087,             0.00048087,             0.00048087
                     15,                 1.0438,                0.95258,                 1.1421,                0.51363,                0.59585,                0.56952,                 0.4118,                 1.0036,                0.96143,                 1.1274,              0.0004774,              0.0004774,              0.0004774
                     16,                 1.0328,                0.93508,                 1.1323,                0.71252,                0.57934,                0.58663,                0.43314,                0.96504,                0.93764,                 1.1085,             0.00047393,             0.00047393,             0.00047393
                     17,                 1.0274,                0.91758,                 1.1211,                0.70579,                0.58082,                0.61348,                0.45864,                0.95244,                0.91171,                 1.1023,             0.00047045,             0.00047045,             0.00047045
                     18,                 1.0032,                0.89566,                  1.116,                0.66528,                0.59969,                 0.6401,                0.47524,                0.94014,                 0.8738,                 1.0968,             0.00046698,             0.00046698,             0.00046698
                     19,                0.99728,                0.88331,                   1.11,                0.52952,                0.65158,                 0.6241,                0.46378,                0.92188,                0.89532,                 1.0854,             0.00046351,             0.00046351,             0.00046351
                     20,                0.98973,                0.87264,                 1.1069,                0.58537,                0.64388,                0.64347,                0.47964,                0.92607,                0.87912,                 1.0883,             0.00046004,             0.00046004,             0.00046004
                     21,                0.98815,                0.85282,                 1.0989,                0.63215,                0.65079,                0.64704,                0.48372,                0.92415,                0.85417,                 1.0814,             0.00045657,             0.00045657,             0.00045657
                     22,                 0.9793,                0.84518,                  1.097,                0.59827,                0.65243,                0.65373,                 0.4902,                  0.924,                0.84475,                 1.0793,              0.0004531,              0.0004531,              0.0004531
                     23,                 0.9681,                0.83333,                  1.084,                0.64478,                0.64505,                0.66027,                0.49967,                0.96306,                0.85613,                 1.0925,             0.00044962,             0.00044962,             0.00044962
                     24,                0.95281,                0.81831,                 1.0804,                0.64223,                0.62813,                 0.6442,                0.48509,                0.90657,                 0.8354,                 1.0665,             0.00044615,             0.00044615,             0.00044615
                     25,                0.95541,                0.80861,                 1.0794,                0.68565,                0.64801,                0.68557,                0.51263,                0.94153,                 0.8061,                 1.0845,             0.00044268,             0.00044268,             0.00044268
