                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1686,                 3.7679,                 3.2006,                  0.375,                0.11257,                0.06983,                0.02467,                 2.5986,                 2.8935,                 2.6748,             0.00017498,             0.00017498,             0.00017498
                      2,                 1.9682,                 2.3067,                 2.0088,                0.52856,                 0.3083,                 0.2676,                 0.1394,                 1.6902,                 1.8548,                  1.753,               0.000348,               0.000348,               0.000348
                      3,                   1.58,                  1.798,                  1.615,                0.64124,                0.35083,                0.33126,                0.19044,                 1.4208,                 1.5722,                 1.5172,             0.00051871,             0.00051871,             0.00051871
                      4,                 1.4358,                 1.5606,                 1.4623,                0.57078,                0.35539,                0.38433,                0.23607,                   1.36,                 1.4496,                 1.4395,             0.00051559,             0.00051559,             0.00051559
                      5,                   1.35,                 1.4246,                 1.3793,                0.53464,                0.51162,                0.43468,                0.28072,                 1.1872,                 1.2941,                 1.2971,             0.00051211,             0.00051211,             0.00051211
                      6,                 1.2782,                 1.3276,                 1.3215,                0.70425,                0.48588,                0.50008,                0.34268,                 1.1501,                 1.2654,                  1.272,             0.00050864,             0.00050864,             0.00050864
                      7,                  1.235,                 1.2711,                 1.2858,                0.67979,                0.48554,                0.49494,                  0.331,                  1.148,                 1.2211,                 1.2652,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.1918,                 1.2122,                 1.2578,                0.66284,                 0.4755,                0.50999,                0.35061,                   1.11,                  1.167,                 1.2305,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.1555,                 1.1604,                 1.2325,                0.65932,                0.51661,                0.53308,                0.37258,                 1.0636,                 1.1197,                 1.2045,             0.00049823,             0.00049823,             0.00049823
                     10,                 1.1461,                 1.1185,                 1.2191,                0.71377,                0.52815,                0.57414,                0.41403,                 1.0143,                 1.0471,                 1.1702,             0.00049476,             0.00049476,             0.00049476
                     11,                  1.117,                 1.0823,                 1.1963,                0.70487,                0.55797,                0.58699,                  0.413,                 1.0394,                 1.0478,                 1.1732,             0.00049128,             0.00049128,             0.00049128
                     12,                 1.0954,                 1.0487,                 1.1855,                 0.7325,                0.53085,                0.60406,                0.42822,                 1.0185,                0.98978,                 1.1662,             0.00048781,             0.00048781,             0.00048781
