                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2136,                 5.1418,                  4.192,                      0,                      0,                      0,                      0,                 4.7427,                  5.024,                 4.2371,             0.00017116,             0.00017116,             0.00017116
                      2,                 3.3622,                  4.063,                 3.4335,                      0,                      0,                      0,                      0,                 4.7719,                 5.0936,                 4.3717,             0.00034421,             0.00034421,             0.00034421
                      3,                 2.6128,                 3.1044,                 2.6068,                0.00978,                 0.0986,                0.01321,                0.00409,                 4.1545,                 4.7469,                 3.6879,             0.00051494,             0.00051494,             0.00051494
                      4,                 2.1226,                 2.4524,                 2.0732,                0.53569,                0.21764,                 0.1686,                0.08244,                 2.1498,                 2.2193,                 2.1149,             0.00051559,             0.00051559,             0.00051559
                      5,                 1.8593,                 2.1286,                 1.8215,                0.55044,                0.27415,                0.19978,                 0.1045,                 1.7237,                 1.9999,                 1.7977,             0.00051211,             0.00051211,             0.00051211
                      6,                 1.6782,                 1.9036,                 1.6455,                0.36343,                 0.2757,                0.16749,                0.08487,                 1.8705,                 2.5689,                 1.7971,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.5747,                 1.7642,                 1.5429,                0.64556,                0.34156,                0.30133,                0.18244,                 1.3961,                 1.6165,                 1.4699,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.4738,                 1.6384,                  1.465,                0.62953,                0.31341,                0.30411,                  0.187,                 1.4239,                 1.6497,                 1.4297,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.4184,                 1.5401,                 1.4068,                0.65403,                 0.3712,                 0.3457,                0.21664,                 1.4111,                 1.4317,                  1.419,             0.00049823,             0.00049823,             0.00049823
                     10,                 1.3952,                 1.4878,                 1.3772,                 0.6573,                 0.3647,                0.34244,                0.20535,                 1.3917,                 1.4353,                 1.3873,             0.00049476,             0.00049476,             0.00049476
                     11,                 1.3571,                 1.4307,                 1.3493,                0.69359,                0.35736,                 0.3491,                0.23128,                 1.2443,                 1.3972,                 1.3055,             0.00049128,             0.00049128,             0.00049128
                     12,                 1.3171,                 1.3843,                 1.3161,                0.65009,                 0.3917,                0.36275,                0.23236,                  1.271,                 1.4079,                 1.3099,             0.00048781,             0.00048781,             0.00048781
                     13,                 1.2951,                 1.3243,                 1.2983,                0.60703,                0.43693,                0.40976,                0.27428,                 1.2255,                 1.2893,                   1.27,             0.00048434,             0.00048434,             0.00048434
                     14,                 1.2812,                 1.3013,                 1.2761,                0.61096,                0.42264,                0.40255,                0.26813,                 1.2117,                 1.3015,                 1.2555,             0.00048087,             0.00048087,             0.00048087
                     15,                 1.2665,                 1.2826,                 1.2631,                0.70774,                0.44624,                0.43994,                0.29214,                 1.1718,                 1.3037,                 1.2369,              0.0004774,              0.0004774,              0.0004774
                     16,                 1.2528,                 1.2517,                 1.2518,                0.63415,                0.41844,                0.41655,                0.27807,                 1.2155,                 1.2715,                 1.2514,             0.00047393,             0.00047393,             0.00047393
                     17,                 1.2386,                 1.2318,                  1.234,                 0.6993,                0.39698,                0.46655,                0.31814,                 1.1932,                 1.2319,                 1.2321,             0.00047045,             0.00047045,             0.00047045
