                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.983,                 3.5412,                  2.959,                0.48237,                0.16424,                0.12824,                0.05518,                 2.0478,                 2.3624,                 2.1044,             0.00017498,             0.00017498,             0.00017498
                      2,                 1.7887,                 2.1179,                 1.7967,                0.51612,                 0.3288,                 0.2658,                0.14733,                 1.5515,                 1.7493,                 1.5974,               0.000348,               0.000348,               0.000348
                      3,                 1.4634,                  1.712,                 1.4984,                0.63461,                0.35564,                0.34377,                0.21201,                 1.3217,                 1.6384,                 1.4005,             0.00051871,             0.00051871,             0.00051871
                      4,                 1.3623,                 1.5039,                  1.384,                0.63957,                0.40475,                0.38352,                0.24395,                 1.3325,                 1.4774,                 1.3713,             0.00051559,             0.00051559,             0.00051559
                      5,                 1.2824,                 1.3614,                 1.3258,                 0.6354,                0.39859,                0.44683,                0.28519,                 1.1908,                 1.2778,                 1.3016,             0.00051211,             0.00051211,             0.00051211
                      6,                  1.221,                 1.2741,                 1.2732,                0.52894,                0.49967,                0.46436,                0.31152,                 1.0993,                 1.2745,                 1.2321,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.1861,                 1.2247,                 1.2481,                0.57743,                0.47418,                0.48683,                0.33743,                 1.0768,                 1.1289,                 1.2134,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.1408,                 1.1633,                 1.2259,                0.69412,                0.53155,                 0.5702,                0.40441,                 1.0375,                 1.0692,                 1.1784,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.1208,                 1.1233,                  1.195,                0.69177,                0.52155,                0.53606,                0.38783,                 1.0079,                 1.0582,                 1.1592,             0.00049823,             0.00049823,             0.00049823
                     10,                 1.0854,                 1.0614,                 1.1748,                 0.5562,                 0.6141,                0.58179,                0.41479,                0.98961,                 1.0405,                 1.1523,             0.00049476,             0.00049476,             0.00049476
                     11,                 1.0753,                 1.0308,                 1.1727,                0.66547,                0.56156,                0.58637,                0.42438,                 1.0007,                 1.0085,                 1.1461,             0.00049128,             0.00049128,             0.00049128
                     12,                 1.0529,                 1.0084,                 1.1562,                0.68789,                0.55699,                0.57833,                0.42514,                0.97497,                0.97256,                 1.1268,             0.00048781,             0.00048781,             0.00048781
                     13,                 1.0363,                0.97674,                  1.141,                0.63236,                0.57424,                0.59699,                0.43796,                0.96987,                0.96772,                 1.1258,             0.00048434,             0.00048434,             0.00048434
                     14,                 1.0193,                0.93921,                 1.1324,                0.54357,                0.61278,                0.62463,                0.45589,                0.95099,                0.93495,                  1.115,             0.00048087,             0.00048087,             0.00048087
                     15,                 1.0159,                0.93726,                 1.1289,                0.67563,                 0.5845,                0.61205,                0.45734,                 0.9359,                0.90353,                 1.1036,              0.0004774,              0.0004774,              0.0004774
                     16,                0.99999,                0.91845,                 1.1194,                0.59689,                0.59977,                0.61827,                0.46269,                0.93685,                0.91696,                 1.0973,             0.00047393,             0.00047393,             0.00047393
                     17,                 0.9974,                0.90237,                 1.1086,                0.65131,                0.55941,                0.65659,                0.49067,                0.93649,                0.88508,                 1.0952,             0.00047045,             0.00047045,             0.00047045
                     18,                0.98026,                0.87539,                 1.1071,                0.61437,                0.63773,                0.63496,                0.47041,                0.92184,                0.92667,                 1.0923,             0.00046698,             0.00046698,             0.00046698
                     19,                0.97214,                0.86393,                 1.1016,                0.63411,                0.63919,                0.65551,                0.49008,                0.89586,                0.86908,                 1.0761,             0.00046351,             0.00046351,             0.00046351
                     20,                0.96502,                0.85909,                 1.0953,                0.66958,                0.63593,                0.67329,                0.51647,                0.89312,                0.83924,                 1.0722,             0.00046004,             0.00046004,             0.00046004
